Id,SalePrice
1461,128304.01455490768
1462,155495.3240336645
1463,180323.84522042365
1464,184204.25380792914
1465,204154.06959072556
1466,184901.77808677964
1467,166239.8439905878
1468,174840.20123854352
1469,186078.84854777012
1470,123674.70336873227
1471,199645.9104309875
1472,97166.71416508882
1473,96224.5877709536
1474,161236.23715058606
1475,155442.35510618731
1476,332121.5003038137
1477,256254.11686833223
1478,304735.33146699425
1479,211963.50930225453
1480,484998.56355097954
1481,305769.19372328545
1482,213480.5602316205
1483,170590.06901077647
1484,182017.6853649139
1485,171097.01431155187
1486,193275.4492646458
1487,313011.94084489916
1488,230693.68373036527
1489,203925.03896105272
1490,181046.57754159006
1491,187009.30233160662
1492,99325.6803713019
1493,180902.1458940442
1494,304100.70541052805
1495,314265.8236743847
1496,225128.9279119415
1497,184163.46685719088
1498,155781.26611346734
1499,151865.3107872473
1500,149410.03498212178
1501,163797.79254362144
1502,169212.61434315157
1503,270649.8708309008
1504,235290.4740100275
1505,214280.30046609283
1506,178040.14001824826
1507,206908.54342000867
1508,205396.49093382442
1509,155475.58081882348
1510,158915.53511869296
1511,152402.33159125634
1512,159745.4453712873
1513,157593.09453938165
1514,155992.4566502225
1515,159537.93953405725
1516,159795.59906162665
1517,147591.4158136793
1518,130657.2068797374
1519,221885.75085638108
1520,138435.34933245933
1521,147318.08076988958
1522,157849.2228764943
1523,115489.07352961955
1524,123327.95069544333
1525,125057.44089768908
1526,127046.17060377904
1527,108690.52252046055
1528,133521.93348509117
1529,136036.09924477423
1530,167436.6493268153
1531,122463.13379733864
1532,99291.93123160087
1533,149147.74887339835
1534,119418.29853139078
1535,160883.00708291953
1536,116858.80582623178
1537,84044.50245975987
1538,187652.95603901352
1539,225726.36749070152
1540,113768.5468510082
1541,157444.504601748
1542,156415.87328007582
1543,209765.47524862605
1544,84360.77776087208
1545,95645.86183639434
1546,116638.18638221144
1547,126882.8092906787
1548,124618.15058054558
1549,114421.28701765457
1550,143298.11912131554
1551,118113.85385323154
1552,135457.8579924534
1553,150437.59467935274
1554,107463.76007676886
1555,162226.9740890777
1556,86027.80818377197
1557,116752.01617745272
1558,87261.73536455068
1559,90877.7239343347
1560,141378.93682048976
1561,135691.64709293057
1562,135510.660620535
1563,127062.29631467718
1564,165353.28684805168
1565,148622.39998862162
1566,233317.26819897167
1567,74186.34543300327
1568,231121.29406766238
1569,129173.69441390889
1570,128092.52649109601
1571,125320.87950637704
1572,142743.5319121608
1573,246676.0319269511
1574,115627.60098173538
1575,209770.62326084176
1576,214392.32682099167
1577,200474.27882851555
1578,153812.02573859392
1579,131793.79249310496
1580,186577.94794903122
1581,144077.1944223417
1582,127328.59571856471
1583,314400.5627008829
1584,241234.98856095978
1585,139864.55004648675
1586,56193.059716873766
1587,101175.58819810646
1588,149132.31802832556
1589,100991.1049622581
1590,127014.98293001867
1591,110154.75092375664
1592,126827.32475357519
1593,122253.4573524604
1594,116921.60958058522
1595,116671.5624142098
1596,218880.79875473326
1597,155523.52967960777
1598,180926.91195517566
1599,198976.5919923848
1600,194805.37965604468
1601,64196.36050785981
1602,104733.81525592617
1603,93786.92619838336
1604,289133.44495180645
1605,249271.4502712978
1606,171955.37611557392
1607,175523.1383496232
1608,215000.21150224863
1609,188434.67065703202
1610,153230.84379397167
1611,151742.17105936754
1612,148495.24791314997
1613,159628.30078831647
1614,121606.12471048319
1615,81727.30758958605
1616,80079.07284993178
1617,83652.3971406572
1618,128069.23833537847
1619,136001.71308018593
1620,150181.67071549542
1621,141028.27750955577
1622,154089.0344969437
1623,262138.67591393145
1624,212531.3128172387
1625,124108.15689036291
1626,162832.53975055256
1627,189518.65731638673
1628,281996.7776500355
1629,177561.34211201535
1630,330235.4177948795
1631,223276.63967120976
1632,255723.83079579298
1633,174690.80024845398
1634,173260.91003437925
1635,183013.28753954117
1636,152654.31349540272
1637,168034.94835812337
1638,211820.58958726126
1639,177246.84403568067
1640,240080.09198019543
